cleaned_text,class
talbott hotel claims chicagos premiere small luxury hotel staying experiencing service environment hotel general say confidence isnt true arrived rather high expectations due claims made hotel reviews posted website immediately disappointed one came car collect bags forced lug inside doorman polite failed even open door leaving fend trying carry bags inside atmosphere expected lighting poor leaving lobby dark looked like dingy setting glossy veneer attempt hide degenerate state building carpet looked dirty hadnt vacuumed washed quite time corners walls met ceilings visible water damage arrived front desk forced wait five minutes someone came help checking went room disappointed bed uncomfortable ran shower ten minutes without ever receiving hot water night ordered room service food took minutes get room finally arrived cold fitness center small selection machines caused long lines waiting use would certainly recommend hotel friends probably enemies either stay away,0
selected talbott recent family vacation chicago chose hotel close proximity navy pier otherwise central location retrospect phrase location location location apparently apply hotels good thing location great everything happened inside hotel bad upon arrival room ready clerk could nicer whole situation told us simply would wait without offering sort help luggage timetable room would ready finally arrived room sheets clean call housekeeping proved difficult speak spanish second day trip housekeeping never showed clean room despite presence please service sign hung door stayed room service long afternoon michigan ave food finally arrived full hour placing order cold good despite poor impressions management unwilling compromise price checkout call corporate headquarters answered call center mumbai receive business,0
recently stayed affinia hotel chicago one worst experiences ive ever highend hotel chicago conference thought would enjoy experience somewhere pleasant relaxing return hotel definitely wasnt place restaurants mediocre best despite high prices repeatedly got food bland overcooked lukewarm room fine nothing special think id comfortable almost hotel downtown chicago big part discomfort dissatisfaction hotel though jet set pets program hard find decent relaxing hotel ill like also accept dog many employees rude adopted mutt energetic loves people isnt photogenic dog scar face hes got terrier look multiple people mocked said point grooming asked wanted sleeping bed room know fairly highend hotel would hope better service regardless class associations dogs hope least treat dogs boarded well experience overall frustrating unsatisfactory especially price give good marks spa services really appreciated pillow menu didnt feel like particularly luxurious indulgent experience especially given customer service,0
husband stayed hard rock hotel chicago months back wasnt particularly impressed customer service arrived check front desk clerk quite rude unfriendly short asked citys attractions things room wasnt great either rather small weird smell wont staying,0
stayed hard rock hotel chicago recently convention attending first trip chicago idea expect hotel came recommended colleague high expectations checkin took bit longer would liked experiencing computer problems staff front desk call main reservation line confirm reservations get room strong cigarette odor spite fact nonsmoking room went front desk requested room change given computer problems took almost hour staff quite surly didnt positive attitude spite difficulty id expect high profile establishment new room suite originally booked significantly fresher smelling hooked laptop dismayed discover wifi service made reservation online take advantage free wifi online ressies part computer problems wifi service fortunately starbucks street available wifi granted couldnt lounge starbucks jammies like could hotel room connectivity work necessary make sacrifices determined let computer problems color opinion hotel something necessarily control local management however hair bathroom sink wet washcloth floor behind toilet definitely control local management quick call housekeeping got promise give room street starbucks promised arrived back room stray bits previous customers dna dust bunny population eradicated chance relax room minor details stood carpet starting get worn places edges furniture dinged personal pet peeve inside drawers rough unfinished wood dislike little splinters cause runs clothes would expected higher quality furniture hotel things considered stay tolerable water pressure good quiet enough night get decent sleep wifi still morning checked early spent time enjoying latte free wifi starbucks,0
visited chicago family several times never horrible hotel experience staff rude unhelpful overcharged card spend whole morning phone trying get finally fix mistake hotel didnt live expectations eitherthe inside dingy needed cleaning room looked like bunch chain smokers thrown crazy party room cigarette burns sheets stains floor hole wall looked like someone punched requested another room marginally better terms cleanliness kept night noise neighbors yelling hanging hallway plenty places stay chicago avoid hard rock costs,0
extremly unhappy recent stay affinia chicago arrived check reservation made confirmed weeks earlier computeri wait minutes lobby room cleaned whole time desk clerk gave dirty looks texted nonstop cell phone office phone rang hook toilet paper restroom trash roomill never go backdont waste money,0
terrible experience family affinia chicago first reserved room queen size beds received king size bed cot got room found hair balls floor cat previously stayed absolute terror affinia never going back,0
warning stay talbott hotel go history one worst experiences staying hotels excited weekend getaway friends receiving positive recommendations looking website decided stay talbott promoting breakfast credit per day breakfast favorite meal already looking like great time upon arrival greeted employee wouldnt known told us rude made sexual advances one ladies group talked manager incident outside assured us would take care issue even upgraded us king suites instead double size rooms originally reserved someone blindfolded took one rooms would sworn motel luxury hotel chicago linens stained room smelled smoke another odor similar old cat pee truly disgusted night town came back disgusting rooms get sleep next morning excited breakfast highly recommended hotel guests say one worst breakfasts ever eaten toast stale eggs made powder instead real eggs juice served sour would never recommend place stay would suggest red roof inn place anytime,0
high hopes ambassador east hotel really seemed like nice enough place reasonably close beach access arrived hotel tuesday afternoon immediately surprised state disrepair building could actually see two members hotel maintenance parking lot sitting truck nothing walked nobody greeted nobody offered take bags hotel furniture looked quaint outdated fine covering dust went counter check disinterested girl working barely glanced papers slid keys avoiding eye contact typing computer got room despite specifically asking nonsmoking distinct smell cigarettes inside hallway paid extra upgraded room extremely disappointed condition inside drinking glasses filthy towels smelled mold actually trash left bathroom trash television basic crt looked fifteen years old channel guide though suppose didnt need one six channels heard good things food ambassador east hotel alas respite room service ordered took forty minutes arrive steak cold cooked beyond well done elsewhere hotel things better everywhere went pool bar staff hasty rude completely uninterested nowhere particularly clean well decorated really wanted like ambassador east hotel unfortunately best part stay checking,0
ambassador east hotel terrible place stay rooms old dirty though havent cleaned remodeled years hotel staff friendly accomodating waste money crappy old hotel full rude employees,0
recently stayed ambassador east hotel two night visit nothing short disappointing expecting wonderfully romantic weekend fiance specifically chose hotel prefer boutique hotels extra attention staff unique atmosphere expectations ambassador met room small frankly outdated bathroom smelled musty ac room two settings polar cold walls nothing muffle sound adjacent rooms loud night good nights sleep impossible staff indifferent favor avoid hotel frankly worth steep price mediocre character since far better accommodating boutique hotels chicago know wont back place,0
hype rave reviews talbott hotel seemed would mistake stay way around talbott hotel website claims opulent accommodations impeccable service unexpected delights last time checked opulent bit different meaning easily outdone senile yearold landlord college apartment impeccable wasnt code rude unfriendly unexpected delights fun faint obvious stain sheets hotel overall stay simply wasnt worth money hassle involved making correct reservations lot lessi could treated rudely mediocre stay casual environment,0
hotel placed downtown chicago makes really loud hard sleep night citynoises coming outside rooms reality also smaller look pictures stayed hotel weekend trip husband supposed get room king size bad instead got two single beds stuff isnt really nice either seems like make favor talking,0
hello recently stayed affinia hotel chicago unhappy learned additional charges upon arrival made reservations phone mention internet parking fees arrive im told fee valet park per day plus another internet plain ridiculous remember stay future theres many fine hotels dont charge fees,0
booked room hotel expecting great accommodations considering price disappointed room looked nice found werent extra blankets closet heating system dysfunctional came back room meeting found still cleaned even though late afternoon asked replacement towels late coming would expected shuttle sort airport especially since website advertises close distance instead call taxi almost late plane taxi stuck traffic best experience,0
arrived check process fairly quick however staff seemed bad mood around seemed taking time got room tried use personal computer look attractions pay day wifi total waste money speed internet extremely slow free workout area also expectations since free didnt complain overall would never stay hotel recommend,0
hoped would pleasant stay turned nightmare first sign trouble affinia couldnt find reservation add room service delivered cold food long wait mini bar well stocked internet service slow unusable top street noise seemed penetrate thin walls ease making getting good night sleep nearly impossible finally discovered valet parking premium service dented fender scratched door paint car highly recommend going elsewhere visit chicago,0
husband recently spent nights ambassador east hotel never stay hotel steep price paid stay expected friendly staff clean room get first rooms clean found bugs room sheets look like recently changed reported information hotel staff anything help us staff unfriendly also clean towels use bathroom,0
stayed ambassador east hotel past summer days worst hotel experience ever firstly sheets bed seemed ones previous guests left looked dingy plain dirty second went function one night came back late really tired next morning hence slept late put disturb sign door room service still came knocking door asking come clean obviously room service lady cant read third worst checked allowed valet parking gave keys hoping get back car one piece well next morning asked car retrieved big dent drivers door mustang livid valet guy insisting got like end get door repaired thing liked food wasnt even disappointed im warning everyone think twice make reservation,0
weeks ago stayed hard rock hotel chicago hotel bust get go arrived lobby wait several minutes front desk clerk show could hear talking back minutes got desk short us helpful wander around halls looking room got room thought weekend going get better rooms modern nicely designed hotel going though soon started explore room clear room party nights bathroom smelled vomit bath tub small shards glass broken bottles called worker cleaned thought still remained settled sleep loud noises coming room next door hour finally made call front desk complain woman said rock band room finished show chicago staying next nights wouldnt recommend hotel anyone hard rock hotel right least thats beds feel like,0
ambassador east particularly crappy property given numerous quality hotels around gold coast unfortunately saw amazing rate decided book experience reminder get pay lobby gorgeous appears match photos website room assigned run looked nothing like photos posted website looked like someone put quick coat paint walls furniture old fixtures bathroom rusty room also smelled must mildew room airconditioning advertised inwindow unit sounded like last leg single night anywhere longer would requested refund please youre staying part town favor book one numerous properties around hampton inn hilton garden inn nearby clean often specialoffers arent properties area save potentially unpleasant stay,0
never use ambassador east hotel first appearance get dark dreary type setting exterior hotel desperate need repair customer service good would expect spending hard earned money hotel room hotel spending average amount money room smaller average hotel room felt rushed check didnt enjoyable experience,0
stayed hotel labor day weekend pretty awful staff relatively friendly thats positive aspects stop bed rock hard uncomfortable thermostat didnt work properly air conditioner always degrees warmer colder wanted even though think day internet ridiculous bought needed download powerpoint work send emails ungodly slow barely better dialup ended finding starbucks use wifi could actually get something done minibar overpriced expected awful experience definitely wouldnt stay,0
recent trip chicago stayed ambassador east hotel located downtown say pleased stay one requested room one king sized bed called reservations however arrived hotel lobby clerk said king sized beds left settle two double sized beds told clerk king sized promised made reservation shrugged shoulders got room found small supposed small refrigerator room wasnt although bother complain gave wrong bed night seemed sort convention held hotel figure convention attendees liked stay early morning made way much noise called front desk several times complaining noise time assured would deal noise racket never dissipated finally gave getting sleep go back lobby trip ended complain poor service given manager said felt sorry trouble hotel offer refund consolation trouble left ambassador east vowed ever returned chigaco would never stay place,0
terrible time talbott planned vacation chicago called ahead made reservations stay went check told didnt reservation knowing credit card charged argued guy working finally option gave speak someone else thankfully knew use computer go room terrible smell beer feet could believe complained told spray air freshener go visit family got back room key work complaining helpless employee told magnetic strip must came contact magnet could believe mentality guy one night reserved could take anymore went spent rest vacation aunts house would recommend talbott anyone,0
heard good things ambassador east decided stay vacation husband mistake first charge able use internet given days especially much pay room champagne cheap could spent get bottle king room small double room anyway bed really hard crudely made maybe someone new staff didnt know make bed besides sheets starched military stiffness uncomfortable asked might get new sheets staff incredibly rude told basically stuck theyre way appalled anyway gave shot stayed night mediocre luster room design didnt sleep well didnt particularly enjoy especially apparently wedding going building could hear party mean talk opposite peaceful tried appealing staff room moved away party said couldnt move us romance package jip kind fun wed realized couldnt handle anymore called manager next morning fought couple hours wanted cancel second night stay said hed wed still charged percentage telling everything happened displeased finally got charge us left go stay another hotel actually relaxing,0
ambassador east hotel pretty girl bad heart staying nights notied may problems service expensivecold hotelfirst room sevice poorly helpful bag boy insisted tip also droped bag chefs cooking terriablethe steak spent dollars suppost rare came burnt room pay beds like sack rocks top covers smelled like smoke never give ambassador east hotel another chance,0
ambassador hotel located downtown chicago right lakeshore drive heart hotel industry downtown would recommend look one hotels wanting place stay downtown rates hotel indicate would top line place stay fact pretty unpleasant experience started someone obviously new employee checking us problem except fact person one duty difficulties checking us one assist checking went room bit disappointed pictures accurately depict size rooms tiny offer little room store luggage way beds comfortable called room service extra pillows took hour arrive staying hotel anytime future,0
husband recently went chicago aunts funeral familiar area asked recommedations stay two nights would town told stay ambassador east hotel wish could say experience good one sadly one disappointing travel experiences upon check quickly shown rooms entered king suite strong musty smell greeted us side first thought sensitive hour room simply request moved smell overwhelming front desk said would happy move us room available suite two double beds rather king bed suite originally reserved exactly wanted didnt really choice refuse transfering new room getting settled discovered electrical outlet near sink bathroom work bother husband much annoyed need mirror use hair dryer curling iron etc absolutely want switch rooms yet simply make due hair next bed also gave us two towels kind bathroom request washcloths small hand towels days time housekeeping staff seemed incredibly annoyed requests paid stay hotel impressed customer service lackluster rooms par ever chicago favor stay somewhere else,0
talbott definitely worth price pay really looking forward staying since recently renovated good location unfortunately didnt live hype recently renovated apparently means redone last decade last year tiredlooking also disappointing food service hit miss expected better hotel caliber bottom line better places better value stay elsewhere,0
would reccomend staying hard rock hotel chicago want good deal good nights sleep stayed hard rock hotel chicago two nights past july select king city view room room dark ugly black carpets view another building right next door great view upper level floor elevators incredibly slow hotel pretty loud people room next mine partying night long hard get sleep first night called complain front desk promised something never ended call two times management something room next door quieted hour loud rest night hotel expensive price werent many special amenities continental breakfast wifi included sign day service day overall would recommend staying hard rock hotel chicago way overpriced get,0
affinia chicago obviously caters wedding guests corporations hosting business conferences represent one groups large number guests revenue affinia expect measure customer service dont expect great accommodations even high prices arrived reservation lost took forever concierge tell us room instead given available furnishings room cheaply made cleaning obviously superficial view directly concrete wall hotels l shaped corridor called fresh linens toiletries rude phone attendant told someone would essentially time two hours later someone came dining hall reception areas really nice unless youre large group dont expect enjoy stay affinia even could prices wouldnt worth,0
originally made reservations weekend getaway looking website read romantic weekend getaway never area stayed ambassador hotel really didnt know expect pictures online made look inviting turned upon arriving parking valet break ended park car unless felt like leaving line traffic went downhill bed sheets footprints bathroom odor couldnt figure ended getting different room mediocre needless say wont staying,0
extremely disappointed stay hotel look like pictures portrayed online booked online thinking perfect place going arrive room without view even though paid room smelled musty clean garbage changed prior person found small ants bathroom near shower called complain someone came hours later used bug spray overall hotel great location would never visit staff overly friendly helpful room seemed online,0
experience ambassador east hotel truly terrible went chicago husband children attend wedding hotel recommended wedding party terrible choice despite special discount got wedding hotel turned expensive compared nearby hotels staff amenities also unfriendly children kids absolutely terrified several members staff scowled yelled reason place also formal stiff decorated lot breakable expensive items son narrowly avoided breaking vase ill tempered bellhop nearly ran luggage cart overall would say displeased staff hotels attitude towards children expense hotel plus side window excellent view city still would return,0
hard rock hotel boats best high scale accommodations business pleasure stays fail disclose expensive stay service tends heavily influenced wealth patrons service redily available friendly makethe rooms furnished attractive old furnishings laundry service leaves desired sheets gray tint rooms smell tobacco recently stayed hard rock hotel disappointed service cleanliness room bathroom beddingyour stay hotel memorable restfulafter isnt pay,0
chose talbott hotel primarily location quickly discovered location good thing although website good job selling services amenities found severely lacking mentioned reservationist booking romantic weekend getaway us anniversary asked promised king room however checked told front desk clerk king rooms available could either take double queen room pay significantly suite took key double queen room way upon arriving floor found rowdy group young girls running hallway squealing playing turns hotel offers american girl visits nearby store turns romantic getaway room center block rooms reserved girl scout troop american girl trip went back downstairs request move another room told double queen rooms currently available explained anniversary ambiance wasnt exactly looking clerk rolled eyes told us couldnt help us didnt anything else sorry back upstairs went tired travel decided order room service dinner pasta arrived barely warm mediocre flavor ate anyway prepared bed using bathroom discovered toilet room continued cycle water flushing jiggling handle times poking around tank couldnt get water stop running took three hours maintenance staff member make way room fix problem next morning showering discovered hair dryer didnt work properly pulling wet hair back clip went day upon return expected find room made fresh hadnt touched called downstairs someone sent clean time wed left dinner nobody arrived room wasnt made day night girl scouts sat hallway giggling singing well am asked several times quiet didnt want listen chaperones nowhere seen called desk told us would take care girls continued party hallway anyway nobody came shoo away next morning turned hairdryer expecting work reporting difficulty day didnt stuck wearing clip checked made mental note select another hotel area next trip hotel potential staff doesnt care enough experience allow recommend travelers,0
staff talbott hotel completely unresponsive told bunch drunken teenagers playing ding dong ditch sheets smelled funny arrived changed times twoweek stay room service slow cleaning crew replace soap notice contents minibar diminished every time maid service room,0
affinia chicago one worst hotels ever stayed life treated poorly guest front desk unaccommodating asked smoke free room made error reservation bellhop available strange reason move luggage elevator long hallway room wasnt already bad stay ordered room service took hour half delivered didnt air conditioning room would say everything stay completely miserable traveling chicago kind business hope decide choose hotel quite surprised like chicago city stay definitely made trip quite negative experience,0
wife stayed abassador east hotel august attend air water show chicago called ahead ensure sw view would allow us watch airshow room weather permit us watch one nearby beaches upon arrival hotel room west side hotel wasnt even single king requested apparently hotel overbooked king rooms event weekend downgraded queen room room small underwhelming dirty linens furnishings old worn feel hotel packed weekend visited staff obviously prepared cater large crowd concierge reception desks continuously busy hotel restaurant slow long waits main lobby common areas throughout hotel also undergoing renovations making getting around fighting crowds people even difficult luckly weather nice airshow enjoyable staying abassador future trips hopefully current renovations provide much needed lift hotels current worn vibe,0
hard rock stick restaurants recent stay hard rock hotel chicago think go back good besides wait hour room ready check time receptionist rude seemed care delayed seeing state room still understand took long sheets look picked floor returned bed bathroom looked somebody used leave details complaining didnt seem get anywhere offered small discount hotels bar experience likely book motel return hard rock,0
recently stayed room trendy talbott hotel looked nice outside decided whirl soon walked noticed werent alot hotel employees usually large hotel swarming service people ready lend hand tired needed nice room approached front desk noticed something odd food sitting right front front desk people talking different items bagels muffins left breakfast rush crumbs everywhere especially suppose exchange cash room keys lets say wasnt professional room average bathroom didnt carry kinds brands would liked see wifi connection walk hall ice talk lack customer service stay subpar nothing special,0
hard rock hotel chicago promises upscale accommodations unique experience fail deliver unless course unique experience includes kept awake night party room next door plan staying chance meet favorite celebrity musician sorely disappointed list celebrities fact would rare find anyone b list either party keeps awake favorite band practicing next concert party held musicians even able gain work local coffee bar walls rooms thin hear every wrong note played promise art deco must changed definition room truly look like concert held carpet smelled like shampooed beer bathroom lets say clean correct description quality service amenities severely lacking guests greeted warmth disdain bother complaining noise next door either part unique experience part hard rock hotel description appeared accurate great location chicago easy find real hotel stay rest trip,0
daughters broken heart daughter loves american girl birthday wanted go american girl doll chicago six months eight year old counted day day left chicago could experience lifetime arrived talbot hotel reserved american doll girl package find given room away going move us across town wasnt bad enough spend hour find american girl carriage ride canceled book another one daughter sulked trip spent time going thing thing instead able walk daughter cried sleep first night could tell heart broken,0
affinia hotel chicago one interesting hotels ever stayed everything looks nice fancy though people work must projects chicago customer service worst ever experienced life went check first wait minutes workers desk stop personal conversation check us women counter finally acknowledged us smacking gum upset treating us like inconveniencing room service brought us cold eggs breakfast attitude staff overall extremely rude would never go back hope place gets staff makeover want stay business,0
wife stayed ambassador east hotel last month sons wedding got nobody helped us bags took forever valet car waiting minutes get car parked expected tip found rude finally getting room noticed crumbs floor dirty bathroom extremely disappointed room service recommend place anyone,0
many highquality hotels chicago many highquality hotels magnificent mile affinia chicago neoclassical stylings nonclassical service combination trouble established reservations friday th amd arrived pm checkin room one hour posted check time nothing apology offer upgrade discount nothing seasoned traveler share disappointments tops list,0
hotel seems take everything luxury force throat first place attacks directly inside pocket place looks alright lobby needing place stay midweek convention sightseer chicago far much spend place sleep night clearly ambassador east hotel taken account recession mention least minutes airport traffic chicago traffic stressful enough without worry quickly airport reached particularly front desk forgets give wakeup call,0
booked reservations talbott hotel hopes finding luxury excellent service actually got far less first arrived check woman desk impolite looked rather bored took minutes even find reservation computer system wont go detail messed room keys give second set finally got room first thing noticed smelled stale air room literally smelled like room without fresh air years soon discovered bathroom toilet leak well every time flushed toilet water would trickle base onto floor talk concerning reported desk fellow answered promised someone would right away fix one showed next day early morning might add later called room service asked bottle wine took half hour deliver room wasnt even chilled time showed either lukewarm overall experience pleasant dont recommend booking hotel,0
booked weekend chicago stay hard rock hotel chicago location well good reviews found online however experience hard rock hotel fell short expectations arrived well hour check time told room yet ready left awkwardly waiting around another half hour want leave hotel settling hotel staff interacted seemed generally uninterested jobs appreciate hip hotel popular younger crowd excessive amount noise floor staying throughout night half past four morning quieted two calls front desk make complaints issue fairly light sleeper woke several times throughout night would recommend bringing earplugs youre also light sleeper would like get decent sleep overall hotel looked nice felt experience worth amount paid room,0
recently stayed hard rock hotel chicago labor day weekend huge mistake got room everything seemed okayuntil went bathroom steady drip noise coming bathroom sink matter hard turned knob would stop none usual bath soap stocked toilet paper also seems housekeeping swept everything behind toilet saw wad hair scraps tissue behind bowl called front desk ask send someone stock bathroom clean waiting turned air conditioning kind warm ac started blowing hot musky air room smelling horrible made another phone call front desk complained asked switch room told available double bed near elevator frustrated odor steady drip hearing choice take moved new room large damp spot near window smelled strongly beer light bathroom would turn front desk sent someone room fix problems finally hours later able relax settle hard rock definitely used reason staying,0
hotel touts luxury location chicago talbot poor think motel hilton price carpet threadbare walls paper thin worried minibar constantly random room checks privacy sleeping unheard prices charge average price two people seems like money spent remodeling exquisite lobby happening stayed could better spent better insulation uptodate furnishings guest rooms guess talbot concerned first impressions returning guests wont,0
truly sort person write negative review establishment time spent affinia hotel chicago forced first trip chicago since boy wife excited arrive begin short weekend getaway soon checked hotel first must say counter help far less helpful apparently confused person sign us extremely matched came workings hotel computer total inept customer service said reserved room weeks earlier proceed explain us hotel make mistakes kind must mistaken reservation hotel finally manager arrived insisted presents straiten confusion room lead much smaller lead believe even cleaned last occupants called front demanded manager walk room see condition place shown another room time liking point nothing one saw contact worked acted one would expect hotel reputation affinia list television inch black white could get channels food room service brought cold lifeless bland cleaning person knocked door morning every morning even disturb sign door ever slight smell mold vomit passed hallway every time wife lift room blunt truly hope ceo company reads note fires entire staff guts building thoroughly publicly flogged downtown park never step doors affinia,0
trip chicago complete delight despite stay affinia hotel rates actually higher used new york city naturally assumed would get nicer establishment could wrong place focuses gimmicks set apart competition uunfortunately set apart strictly negative way dream pillow menu experience kit complete flop dream pillow menu hotel offered patrons seemed great pillow choices downstuffed hypoallergenic selections happily chose fluffy pillows got room laid giant poof dust came first thought imagination stood hit pillows edge bed dust came particles flying around room im sneezing disgusting grit sunglasses sitting night stand called desk sent replacements pillows pillows kind music pillow pluged mp player sleeping uncomfortable cords night general staff pleasant tried accommodating apology good enough filthy pillows another failed gimmick offered experience kits given keep collection maps actually nice walking tour guide marked handy deck cards opened missing two cards place lacked attention detail one thing lacked attention pillows werent already enough point certain would never stay establishment run dont walk away place,0
talbott hotel place stay staff treat like welcome pay higher prices snubbed rooms classier fancier standard motel room service takes hour constant traffic construction outside cost far luxury best thing staying hotel bathroom towels,0
really excited booked night hard rock hotel chicago actually beyond budget husband needed weekend away decided splurge occasion worst waste money ever room smaller pictured online looked like maid didnt vacuum carpet visited hotel restaurant angels kings one night dinner drinks overpriced husbands steak cooked wrong ordered medium received welldone steak end trip glad leave understaffed sunday morning checkout line long waited line minutes could check chicago fun city next time return ill choosing different hotel suggest,0
wife stayed affinia chicago last week studio suite worth extra payment absolute nightmare begin room listed oversized nothing sort weve previously stayed hotel regular guest room square feet smaller believe extra space closet isnt useful unless plan living two sons us make extra sleeping space oldest son slept couch woke multiple times time complaining bugs moving around must umcomfortable also sat couch day like rock room service horrible took minutes deliver pillow wife around pm wait family would never go back hotel highly recommend also stay well away,0
first time staying hard rock hotel chicago nothing hate entire experience building maintained however staff rude inept point making customers feel physically ill outside appearance fine dandy room repulsive soon bellboy threw luggage onto rooms ground verbally demanded tip noticed insects kinds scurrying around room pungent smelled like human excrement could say anything bellboy taken tip fled immediately went front desk made wait half hour complete waste time soon reported problem told rooms available would make however say could stay night free charge next morning set leave decided would try breakfast hopes finding one redeeming quality let tell breakfast tasted like space food dirt mold worst breakfast ever entire life overall employees arrogant callous work ethic year old child cannot cook room poorly maintained however good refunding money,0
recent stay talbott hotel chicago miserable visit began wrong foot couldnt locate reservation reservation code email confirmation insisted couldnt find system finally agreed scrap reservation start process lengthy training new girl take reservations room originally reserved king available wait minutes clean double room tired traveling hassle front desk decided stay order room service took hour half food arrive finally delivered cold exactly ordered cranky tired starving ate could mini bar poor selection items went bed room spacious stale smell someone smoked next morning complained wanted change rooms woman front desk couldnt bothered didnt try make things right way decided check go another hotel remainder stay chicago never waste time money talbott,0
stayed hard rock hotel chicago last year say satisfied experience feel didnt live advertised accommodations subpar best chance catch show music loud sound guys work resembled amateur personal rating stars would recommend hotel friend,0
